season,raceName,round,date,circuitId,circuitName,latitude,longitude,locality,country,continent
2000,Australian Grand Prix,1,2000-03-12,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,Oceania
2000,Brazilian Grand Prix,2,2000-03-26,interlagos,Autódromo José Carlos Pace,-23.7036,-46.6997,São Paulo,Brazil,South America
2000,San Marino Grand Prix,3,2000-04-09,imola,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Imola,Italy,Europe
2000,British Grand Prix,4,2000-04-23,silverstone,Silverstone Circuit,52.0786,-1.01694,Silverstone,United Kingdom,Europe
2000,Spanish Grand Prix,5,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Montmeló,Spain,Europe
2000,European Grand Prix,6,2000-05-21,nurburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany,Europe
2000,Monaco Grand Prix,7,2000-06-04,monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,Europe
2000,Canadian Grand Prix,8,2000-06-18,villeneuve,Circuit Gilles Villeneuve,45.5,-73.5228,Montreal,Canada,North America
2000,French Grand Prix,9,2000-07-02,magny_cours,Circuit de Nevers Magny-Cours,46.8642,3.16361,Magny Cours,France,Europe
2000,Austrian Grand Prix,10,2000-07-16,red_bull_ring,Red Bull Ring,47.2197,14.7647,Spielberg,Austria,Europe
2000,German Grand Prix,11,2000-07-30,hockenheimring,Hockenheimring,49.3278,8.56583,Hockenheim,Germany,Europe
2000,Hungarian Grand Prix,12,2000-08-13,hungaroring,Hungaroring,47.5789,19.2486,Budapest,Hungary,Europe
2000,Belgian Grand Prix,13,2000-08-27,spa,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,Europe
2000,Italian Grand Prix,14,2000-09-10,monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,Europe
2000,United States Grand Prix,15,2000-09-24,indianapolis,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,United States,North America
2000,Japanese Grand Prix,16,2000-10-08,suzuka,Suzuka Circuit,34.8431,136.541,Suzuka,Japan,Asia
2000,Malaysian Grand Prix,17,2000-10-22,sepang,Sepang International Circuit,2.76083,101.738,Kuala Lumpur,Malaysia,Asia
2001,Australian Grand Prix,1,2001-03-04,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,Oceania
2001,Malaysian Grand Prix,2,2001-03-18,sepang,Sepang International Circuit,2.76083,101.738,Kuala Lumpur,Malaysia,Asia
2001,Brazilian Grand Prix,3,2001-04-01,interlagos,Autódromo José Carlos Pace,-23.7036,-46.6997,São Paulo,Brazil,South America
2001,San Marino Grand Prix,4,2001-04-15,imola,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Imola,Italy,Europe
2001,Spanish Grand Prix,5,2001-04-29,catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Montmeló,Spain,Europe
2001,Austrian Grand Prix,6,2001-05-13,red_bull_ring,Red Bull Ring,47.2197,14.7647,Spielberg,Austria,Europe
2001,Monaco Grand Prix,7,2001-05-27,monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,Europe
2001,Canadian Grand Prix,8,2001-06-10,villeneuve,Circuit Gilles Villeneuve,45.5,-73.5228,Montreal,Canada,North America
2001,European Grand Prix,9,2001-06-24,nurburgring,Nürburgring,50.3356,6.9475,Nürburg,Germany,Europe
2001,French Grand Prix,10,2001-07-01,magny_cours,Circuit de Nevers Magny-Cours,46.8642,3.16361,Magny Cours,France,Europe
2001,British Grand Prix,11,2001-07-15,silverstone,Silverstone Circuit,52.0786,-1.01694,Silverstone,United Kingdom,Europe
2001,German Grand Prix,12,2001-07-29,hockenheimring,Hockenheimring,49.3278,8.56583,Hockenheim,Germany,Europe
2001,Hungarian Grand Prix,13,2001-08-19,hungaroring,Hungaroring,47.5789,19.2486,Budapest,Hungary,Europe
2001,Belgian Grand Prix,14,2001-09-02,spa,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,Europe
2001,Italian Grand Prix,15,2001-09-16,monza,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,Europe
2001,United States Grand Prix,16,2001-09-30,indianapolis,Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,United States,North America
2001,Japanese Grand Prix,17,2001-10-14,suzuka,Suzuka Circuit,34.8431,136.541,Suzuka,Japan,Asia
2002,Australian Grand Prix,1,2002-03-03,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,Oceania
2002,Malaysian Grand Prix,2,2002-03-17,sepang,Sepang International Circuit,2.76083,101.738,Kuala Lumpur,Malaysia,Asia
2002,Brazilian Grand Prix,3,2002-03-31,interlagos,Autódromo José Carlos Pace,-23.7036,-46.6997,São Paulo,Brazil,South America
2002,San Marino Grand Prix,4,2002-04-14,imola,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Imola,Italy,Europe
2002,Spanish Grand Prix,5,2002-04-28,catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Montmeló,Spain,Europe
