code,permanentNumber,dateOfBirth,givenName,driverId,familyName,url,nationality
,,1964-06-11,Jean,alesi,Alesi,http://en.wikipedia.org/wiki/Jean_Alesi,French
BAR,,1972-05-23,Rubens,barrichello,Barrichello,http://en.wikipedia.org/wiki/Rubens_Barrichello,Brazilian
,,1975-03-05,Luciano,burti,Burti,http://en.wikipedia.org/wiki/Luciano_Burti,Brazilian
BUT,22,1980-01-19,Jenson,button,Button,http://en.wikipedia.org/wiki/Jenson_Button,British
COU,,1971-03-27,David,coulthard,Coulthard,http://en.wikipedia.org/wiki/David_Coulthard,British
DLR,,1971-02-24,Pedro,rosa,de la Rosa,http://en.wikipedia.org/wiki/Pedro_de_la_Rosa,Spanish
,,1970-05-22,Pedro,diniz,Diniz,http://en.wikipedia.org/wiki/Pedro_Diniz,Brazilian
FIS,,1973-01-14,Giancarlo,fisichella,Fisichella,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Italian
,,1967-05-18,Heinz-Harald,frentzen,Frentzen,http://en.wikipedia.org/wiki/Heinz-Harald_Frentzen,German
,,1974-03-29,Marc,gene,Gené,http://en.wikipedia.org/wiki/Marc_Gen%C3%A9,Spanish
,,1968-09-28,Mika,hakkinen,Häkkinen,http://en.wikipedia.org/wiki/Mika_H%C3%A4kkinen,Finnish
HEI,,1977-05-10,Nick,heidfeld,Heidfeld,http://en.wikipedia.org/wiki/Nick_Heidfeld,German
,,1964-06-25,Johnny,herbert,Herbert,http://en.wikipedia.org/wiki/Johnny_Herbert,British
,,1965-11-10,Eddie,irvine,Irvine,http://en.wikipedia.org/wiki/Eddie_Irvine,British
,,1975-05-08,Gastón,mazzacane,Mazzacane,http://en.wikipedia.org/wiki/Gast%C3%B3n_Mazzacane,Argentine
,,1966-11-30,Mika,salo,Salo,http://en.wikipedia.org/wiki/Mika_Salo,Finnish
SCH,,1975-06-30,Ralf,ralf_schumacher,Schumacher,http://en.wikipedia.org/wiki/Ralf_Schumacher,German
MSC,,1969-01-03,Michael,michael_schumacher,Schumacher,http://en.wikipedia.org/wiki/Michael_Schumacher,German
TRU,,1974-07-13,Jarno,trulli,Trulli,http://en.wikipedia.org/wiki/Jarno_Trulli,Italian
,,1972-03-04,Jos,verstappen,Verstappen,http://en.wikipedia.org/wiki/Jos_Verstappen,Dutch
VIL,,1971-04-09,Jacques,villeneuve,Villeneuve,http://en.wikipedia.org/wiki/Jacques_Villeneuve,Canadian
WUR,,1974-02-15,Alexander,wurz,Wurz,http://en.wikipedia.org/wiki/Alexander_Wurz,Austrian
ZON,,1976-03-23,Ricardo,zonta,Zonta,http://en.wikipedia.org/wiki/Ricardo_Zonta,Brazilian
,,1964-06-11,Jean,alesi,Alesi,http://en.wikipedia.org/wiki/Jean_Alesi,French
ALO,14,1981-07-29,Fernando,alonso,Alonso,http://en.wikipedia.org/wiki/Fernando_Alonso,Spanish
BAR,,1972-05-23,Rubens,barrichello,Barrichello,http://en.wikipedia.org/wiki/Rubens_Barrichello,Brazilian
,,1978-10-19,Enrique,bernoldi,Bernoldi,http://en.wikipedia.org/wiki/Enrique_Bernoldi,Brazilian
,,1975-03-05,Luciano,burti,Burti,http://en.wikipedia.org/wiki/Luciano_Burti,Brazilian
BUT,22,1980-01-19,Jenson,button,Button,http://en.wikipedia.org/wiki/Jenson_Button,British
COU,,1971-03-27,David,coulthard,Coulthard,http://en.wikipedia.org/wiki/David_Coulthard,British
DLR,,1971-02-24,Pedro,rosa,de la Rosa,http://en.wikipedia.org/wiki/Pedro_de_la_Rosa,Spanish
,,1976-09-11,Tomáš,enge,Enge,http://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Enge,Czech
FIS,,1973-01-14,Giancarlo,fisichella,Fisichella,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Italian
,,1967-05-18,Heinz-Harald,frentzen,Frentzen,http://en.wikipedia.org/wiki/Heinz-Harald_Frentzen,German
,,1968-09-28,Mika,hakkinen,Häkkinen,http://en.wikipedia.org/wiki/Mika_H%C3%A4kkinen,Finnish
HEI,,1977-05-10,Nick,heidfeld,Heidfeld,http://en.wikipedia.org/wiki/Nick_Heidfeld,German
,,1965-11-10,Eddie,irvine,Irvine,http://en.wikipedia.org/wiki/Eddie_Irvine,British
,,1976-01-19,Tarso,marques,Marques,http://en.wikipedia.org/wiki/Tarso_Marques,Brazilian
,,1975-05-08,Gastón,mazzacane,Mazzacane,http://en.wikipedia.org/wiki/Gast%C3%B3n_Mazzacane,Argentine
MON,,1975-09-20,Juan,montoya,Pablo Montoya,http://en.wikipedia.org/wiki/Juan_Pablo_Montoya,Colombian
,,1966-09-02,Olivier,panis,Panis,http://en.wikipedia.org/wiki/Olivier_Panis,French
RAI,7,1979-10-17,Kimi,raikkonen,Räikkönen,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,Finnish
MSC,,1969-01-03,Michael,michael_schumacher,Schumacher,http://en.wikipedia.org/wiki/Michael_Schumacher,German
SCH,,1975-06-30,Ralf,ralf_schumacher,Schumacher,http://en.wikipedia.org/wiki/Ralf_Schumacher,German
TRU,,1974-07-13,Jarno,trulli,Trulli,http://en.wikipedia.org/wiki/Jarno_Trulli,Italian
,,1972-03-04,Jos,verstappen,Verstappen,http://en.wikipedia.org/wiki/Jos_Verstappen,Dutch
VIL,,1971-04-09,Jacques,villeneuve,Villeneuve,http://en.wikipedia.org/wiki/Jacques_Villeneuve,Canadian
,,1976-07-20,Alex,yoong,Yoong,http://en.wikipedia.org/wiki/Alex_Yoong,Malaysian
ZON,,1976-03-23,Ricardo,zonta,Zonta,http://en.wikipedia.org/wiki/Ricardo_Zonta,Brazilian
BAR,,1972-05-23,Rubens,barrichello,Barrichello,http://en.wikipedia.org/wiki/Rubens_Barrichello,Brazilian
,,1978-10-19,Enrique,bernoldi,Bernoldi,http://en.wikipedia.org/wiki/Enrique_Bernoldi,Brazilian
BUT,22,1980-01-19,Jenson,button,Button,http://en.wikipedia.org/wiki/Jenson_Button,British
COU,,1971-03-27,David,coulthard,Coulthard,http://en.wikipedia.org/wiki/David_Coulthard,British
DAV,,1979-04-18,Anthony,davidson,Davidson,http://en.wikipedia.org/wiki/Anthony_Davidson,British
DLR,,1971-02-24,Pedro,rosa,de la Rosa,http://en.wikipedia.org/wiki/Pedro_de_la_Rosa,Spanish
FIS,,1973-01-14,Giancarlo,fisichella,Fisichella,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Italian
,,1967-05-18,Heinz-Harald,frentzen,Frentzen,http://en.wikipedia.org/wiki/Heinz-Harald_Frentzen,German
HEI,,1977-05-10,Nick,heidfeld,Heidfeld,http://en.wikipedia.org/wiki/Nick_Heidfeld,German
,,1965-11-10,Eddie,irvine,Irvine,http://en.wikipedia.org/wiki/Eddie_Irvine,British
MAS,19,1981-04-25,Felipe,massa,Massa,http://en.wikipedia.org/wiki/Felipe_Massa,Brazilian
,,1969-12-29,Allan,mcnish,McNish,http://en.wikipedia.org/wiki/Allan_McNish,British
MON,,1975-09-20,Juan,montoya,Pablo Montoya,http://en.wikipedia.org/wiki/Juan_Pablo_Montoya,Colombian
,,1966-09-02,Olivier,panis,Panis,http://en.wikipedia.org/wiki/Olivier_Panis,French
RAI,7,1979-10-17,Kimi,raikkonen,Räikkönen,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,Finnish
,,1966-11-30,Mika,salo,Salo,http://en.wikipedia.org/wiki/Mika_Salo,Finnish
SAT,,1977-01-28,Takuma,sato,Sato,http://en.wikipedia.org/wiki/Takuma_Sato,Japanese
MSC,,1969-01-03,Michael,michael_schumacher,Schumacher,http://en.wikipedia.org/wiki/Michael_Schumacher,German
SCH,,1975-06-30,Ralf,ralf_schumacher,Schumacher,http://en.wikipedia.org/wiki/Ralf_Schumacher,German
TRU,,1974-07-13,Jarno,trulli,Trulli,http://en.wikipedia.org/wiki/Jarno_Trulli,Italian
VIL,,1971-04-09,Jacques,villeneuve,Villeneuve,http://en.wikipedia.org/wiki/Jacques_Villeneuve,Canadian
WEB,,1976-08-27,Mark,webber,Webber,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver),Australian
,,1976-07-20,Alex,yoong,Yoong,http://en.wikipedia.org/wiki/Alex_Yoong,Malaysian
ALO,14,1981-07-29,Fernando,alonso,Alonso,http://en.wikipedia.org/wiki/Fernando_Alonso,Spanish
BAR,,1972-05-23,Rubens,barrichello,Barrichello,http://en.wikipedia.org/wiki/Rubens_Barrichello,Brazilian
,,1981-01-01,Zsolt,baumgartner,Baumgartner,http://en.wikipedia.org/wiki/Zsolt_Baumgartner,Hungarian
BUT,22,1980-01-19,Jenson,button,Button,http://en.wikipedia.org/wiki/Jenson_Button,British
COU,,1971-03-27,David,coulthard,Coulthard,http://en.wikipedia.org/wiki/David_Coulthard,British
,,1973-09-19,Cristiano,matta,da Matta,http://en.wikipedia.org/wiki/Cristiano_da_Matta,Brazilian
,,1975-05-20,Ralph,firman,Firman,http://en.wikipedia.org/wiki/Ralph_Firman,Irish
FIS,,1973-01-14,Giancarlo,fisichella,Fisichella,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Italian
,,1967-05-18,Heinz-Harald,frentzen,Frentzen,http://en.wikipedia.org/wiki/Heinz-Harald_Frentzen,German
,,1974-03-29,Marc,gene,Gené,http://en.wikipedia.org/wiki/Marc_Gen%C3%A9,Spanish
HEI,,1977-05-10,Nick,heidfeld,Heidfeld,http://en.wikipedia.org/wiki/Nick_Heidfeld,German
,,1978-03-03,Nicolas,kiesa,Kiesa,http://en.wikipedia.org/wiki/Nicolas_Kiesa,Danish
MON,,1975-09-20,Juan,montoya,Pablo Montoya,http://en.wikipedia.org/wiki/Juan_Pablo_Montoya,Colombian
,,1966-09-02,Olivier,panis,Panis,http://en.wikipedia.org/wiki/Olivier_Panis,French
PIZ,,1980-09-11,Antônio,pizzonia,Pizzonia,http://en.wikipedia.org/wiki/Ant%C3%B4nio_Pizzonia,Brazilian
RAI,7,1979-10-17,Kimi,raikkonen,Räikkönen,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,Finnish
SAT,,1977-01-28,Takuma,sato,Sato,http://en.wikipedia.org/wiki/Takuma_Sato,Japanese
SCH,,1975-06-30,Ralf,ralf_schumacher,Schumacher,http://en.wikipedia.org/wiki/Ralf_Schumacher,German
MSC,,1969-01-03,Michael,michael_schumacher,Schumacher,http://en.wikipedia.org/wiki/Michael_Schumacher,German
TRU,,1974-07-13,Jarno,trulli,Trulli,http://en.wikipedia.org/wiki/Jarno_Trulli,Italian
,,1972-03-04,Jos,verstappen,Verstappen,http://en.wikipedia.org/wiki/Jos_Verstappen,Dutch
VIL,,1971-04-09,Jacques,villeneuve,Villeneuve,http://en.wikipedia.org/wiki/Jacques_Villeneuve,Canadian
WEB,,1976-08-27,Mark,webber,Webber,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver),Australian
,,1978-07-31,Justin,wilson,Wilson,http://en.wikipedia.org/wiki/Justin_Wilson_(racing_driver),British
ALO,14,1981-07-29,Fernando,alonso,Alonso,http://en.wikipedia.org/wiki/Fernando_Alonso,Spanish
BAR,,1972-05-23,Rubens,barrichello,Barrichello,http://en.wikipedia.org/wiki/Rubens_Barrichello,Brazilian
,,1981-01-01,Zsolt,baumgartner,Baumgartner,http://en.wikipedia.org/wiki/Zsolt_Baumgartner,Hungarian
,,1981-05-30,Gianmaria,bruni,Bruni,http://en.wikipedia.org/wiki/Gianmaria_Bruni,Italian
BUT,22,1980-01-19,Jenson,button,Button,http://en.wikipedia.org/wiki/Jenson_Button,British
COU,,1971-03-27,David,coulthard,Coulthard,http://en.wikipedia.org/wiki/David_Coulthard,British
,,1973-09-19,Cristiano,matta,da Matta,http://en.wikipedia.org/wiki/Cristiano_da_Matta,Brazilian
FIS,,1973-01-14,Giancarlo,fisichella,Fisichella,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Italian
,,1974-03-29,Marc,gene,Gené,http://en.wikipedia.org/wiki/Marc_Gen%C3%A9,Spanish
GLO,,1982-03-18,Timo,glock,Glock,http://en.wikipedia.org/wiki/Timo_Glock,German
HEI,,1977-05-10,Nick,heidfeld,Heidfeld,http://en.wikipedia.org/wiki/Nick_Heidfeld,German
KLI,,1983-02-07,Christian,klien,Klien,http://en.wikipedia.org/wiki/Christian_Klien,Austrian
MAS,19,1981-04-25,Felipe,massa,Massa,http://en.wikipedia.org/wiki/Felipe_Massa,Brazilian
MON,,1975-09-20,Juan,montoya,Pablo Montoya,http://en.wikipedia.org/wiki/Juan_Pablo_Montoya,Colombian
,,1966-09-02,Olivier,panis,Panis,http://en.wikipedia.org/wiki/Olivier_Panis,French
,,1979-02-04,Giorgio,pantano,Pantano,http://en.wikipedia.org/wiki/Giorgio_Pantano,Italian
PIZ,,1980-09-11,Antônio,pizzonia,Pizzonia,http://en.wikipedia.org/wiki/Ant%C3%B4nio_Pizzonia,Brazilian
RAI,7,1979-10-17,Kimi,raikkonen,Räikkönen,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,Finnish
SAT,,1977-01-28,Takuma,sato,Sato,http://en.wikipedia.org/wiki/Takuma_Sato,Japanese
MSC,,1969-01-03,Michael,michael_schumacher,Schumacher,http://en.wikipedia.org/wiki/Michael_Schumacher,German
SCH,,1975-06-30,Ralf,ralf_schumacher,Schumacher,http://en.wikipedia.org/wiki/Ralf_Schumacher,German
TRU,,1974-07-13,Jarno,trulli,Trulli,http://en.wikipedia.org/wiki/Jarno_Trulli,Italian
VIL,,1971-04-09,Jacques,villeneuve,Villeneuve,http://en.wikipedia.org/wiki/Jacques_Villeneuve,Canadian
WEB,,1976-08-27,Mark,webber,Webber,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver),Australian
ZON,,1976-03-23,Ricardo,zonta,Zonta,http://en.wikipedia.org/wiki/Ricardo_Zonta,Brazilian
ALB,,1979-04-16,Christijan,albers,Albers,http://en.wikipedia.org/wiki/Christijan_Albers,Dutch
ALO,14,1981-07-29,Fernando,alonso,Alonso,http://en.wikipedia.org/wiki/Fernando_Alonso,Spanish
BAR,,1972-05-23,Rubens,barrichello,Barrichello,http://en.wikipedia.org/wiki/Rubens_Barrichello,Brazilian
BUT,22,1980-01-19,Jenson,button,Button,http://en.wikipedia.org/wiki/Jenson_Button,British
COU,,1971-03-27,David,coulthard,Coulthard,http://en.wikipedia.org/wiki/David_Coulthard,British
DAV,,1979-04-18,Anthony,davidson,Davidson,http://en.wikipedia.org/wiki/Anthony_Davidson,British
DLR,,1971-02-24,Pedro,rosa,de la Rosa,http://en.wikipedia.org/wiki/Pedro_de_la_Rosa,Spanish
DOO,,1981-09-23,Robert,doornbos,Doornbos,http://en.wikipedia.org/wiki/Robert_Doornbos,Dutch
FIS,,1973-01-14,Giancarlo,fisichella,Fisichella,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Italian
FRI,,1980-09-26,Patrick,friesacher,Friesacher,http://en.wikipedia.org/wiki/Patrick_Friesacher,Austrian
HEI,,1977-05-10,Nick,heidfeld,Heidfeld,http://en.wikipedia.org/wiki/Nick_Heidfeld,German
KAR,,1977-01-14,Narain,karthikeyan,Karthikeyan,http://en.wikipedia.org/wiki/Narain_Karthikeyan,Indian
KLI,,1983-02-07,Christian,klien,Klien,http://en.wikipedia.org/wiki/Christian_Klien,Austrian
LIU,,1980-08-06,Vitantonio,liuzzi,Liuzzi,http://en.wikipedia.org/wiki/Vitantonio_Liuzzi,Italian
MAS,19,1981-04-25,Felipe,massa,Massa,http://en.wikipedia.org/wiki/Felipe_Massa,Brazilian
TMO,,1976-07-24,Tiago,monteiro,Monteiro,http://en.wikipedia.org/wiki/Tiago_Monteiro,Portuguese
MON,,1975-09-20,Juan,montoya,Pablo Montoya,http://en.wikipedia.org/wiki/Juan_Pablo_Montoya,Colombian
