givenName,code,dateOfBirth,driverId,permanentNumber,url,familyName,nationality
Jean,,1964-06-11,alesi,,http://en.wikipedia.org/wiki/Jean_Alesi,Alesi,French
Rubens,BAR,1972-05-23,barrichello,,http://en.wikipedia.org/wiki/Rubens_Barrichello,Barrichello,Brazilian
Luciano,,1975-03-05,burti,,http://en.wikipedia.org/wiki/Luciano_Burti,Burti,Brazilian
Jenson,BUT,1980-01-19,button,22,http://en.wikipedia.org/wiki/Jenson_Button,Button,British
David,COU,1971-03-27,coulthard,,http://en.wikipedia.org/wiki/David_Coulthard,Coulthard,British
Pedro,DLR,1971-02-24,rosa,,http://en.wikipedia.org/wiki/Pedro_de_la_Rosa,de la Rosa,Spanish
Pedro,,1970-05-22,diniz,,http://en.wikipedia.org/wiki/Pedro_Diniz,Diniz,Brazilian
Giancarlo,FIS,1973-01-14,fisichella,,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Fisichella,Italian
Heinz-Harald,,1967-05-18,frentzen,,http://en.wikipedia.org/wiki/Heinz-Harald_Frentzen,Frentzen,German
Marc,,1974-03-29,gene,,http://en.wikipedia.org/wiki/Marc_Gen%C3%A9,Gené,Spanish
Mika,,1968-09-28,hakkinen,,http://en.wikipedia.org/wiki/Mika_H%C3%A4kkinen,Häkkinen,Finnish
Nick,HEI,1977-05-10,heidfeld,,http://en.wikipedia.org/wiki/Nick_Heidfeld,Heidfeld,German
Johnny,,1964-06-25,herbert,,http://en.wikipedia.org/wiki/Johnny_Herbert,Herbert,British
Eddie,,1965-11-10,irvine,,http://en.wikipedia.org/wiki/Eddie_Irvine,Irvine,British
Gastón,,1975-05-08,mazzacane,,http://en.wikipedia.org/wiki/Gast%C3%B3n_Mazzacane,Mazzacane,Argentine
Mika,,1966-11-30,salo,,http://en.wikipedia.org/wiki/Mika_Salo,Salo,Finnish
Ralf,SCH,1975-06-30,ralf_schumacher,,http://en.wikipedia.org/wiki/Ralf_Schumacher,Schumacher,German
Michael,MSC,1969-01-03,michael_schumacher,,http://en.wikipedia.org/wiki/Michael_Schumacher,Schumacher,German
Jarno,TRU,1974-07-13,trulli,,http://en.wikipedia.org/wiki/Jarno_Trulli,Trulli,Italian
Jos,,1972-03-04,verstappen,,http://en.wikipedia.org/wiki/Jos_Verstappen,Verstappen,Dutch
Jacques,VIL,1971-04-09,villeneuve,,http://en.wikipedia.org/wiki/Jacques_Villeneuve,Villeneuve,Canadian
Alexander,WUR,1974-02-15,wurz,,http://en.wikipedia.org/wiki/Alexander_Wurz,Wurz,Austrian
Ricardo,ZON,1976-03-23,zonta,,http://en.wikipedia.org/wiki/Ricardo_Zonta,Zonta,Brazilian
Jean,,1964-06-11,alesi,,http://en.wikipedia.org/wiki/Jean_Alesi,Alesi,French
Fernando,ALO,1981-07-29,alonso,14,http://en.wikipedia.org/wiki/Fernando_Alonso,Alonso,Spanish
Rubens,BAR,1972-05-23,barrichello,,http://en.wikipedia.org/wiki/Rubens_Barrichello,Barrichello,Brazilian
Enrique,,1978-10-19,bernoldi,,http://en.wikipedia.org/wiki/Enrique_Bernoldi,Bernoldi,Brazilian
Luciano,,1975-03-05,burti,,http://en.wikipedia.org/wiki/Luciano_Burti,Burti,Brazilian
Jenson,BUT,1980-01-19,button,22,http://en.wikipedia.org/wiki/Jenson_Button,Button,British
David,COU,1971-03-27,coulthard,,http://en.wikipedia.org/wiki/David_Coulthard,Coulthard,British
Pedro,DLR,1971-02-24,rosa,,http://en.wikipedia.org/wiki/Pedro_de_la_Rosa,de la Rosa,Spanish
Tomáš,,1976-09-11,enge,,http://en.wikipedia.org/wiki/Tom%C3%A1%C5%A1_Enge,Enge,Czech
Giancarlo,FIS,1973-01-14,fisichella,,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Fisichella,Italian
Heinz-Harald,,1967-05-18,frentzen,,http://en.wikipedia.org/wiki/Heinz-Harald_Frentzen,Frentzen,German
