FirstPractice,season,raceName,ThirdPractice,SecondPractice,Qualifying,round,time,date,Circuit,url,Sprint
,2000,Australian Grand Prix,,,,1,,2000-03-12,"{'circuitId': 'albert_park', 'url': 'http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit', 'circuitName': 'Albert Park Grand Prix Circuit', 'Location': {'lat': '-37.8497', 'long': '144.968', 'locality': 'Melbourne', 'country': 'Australia'}}",http://en.wikipedia.org/wiki/2000_Australian_Grand_Prix,
,2000,Brazilian Grand Prix,,,,2,,2000-03-26,"{'circuitId': 'interlagos', 'url': 'http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace', 'circuitName': 'Autódromo José Carlos Pace', 'Location': {'lat': '-23.7036', 'long': '-46.6997', 'locality': 'São Paulo', 'country': 'Brazil'}}",http://en.wikipedia.org/wiki/2000_Brazilian_Grand_Prix,
,2000,San Marino Grand Prix,,,,3,,2000-04-09,"{'circuitId': 'imola', 'url': 'http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari', 'circuitName': 'Autodromo Enzo e Dino Ferrari', 'Location': {'lat': '44.3439', 'long': '11.7167', 'locality': 'Imola', 'country': 'Italy'}}",http://en.wikipedia.org/wiki/2000_San_Marino_Grand_Prix,
,2000,British Grand Prix,,,,4,,2000-04-23,"{'circuitId': 'silverstone', 'url': 'http://en.wikipedia.org/wiki/Silverstone_Circuit', 'circuitName': 'Silverstone Circuit', 'Location': {'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}}",http://en.wikipedia.org/wiki/2000_British_Grand_Prix,
,2000,Spanish Grand Prix,,,,5,,2000-05-07,"{'circuitId': 'catalunya', 'url': 'http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya', 'circuitName': 'Circuit de Barcelona-Catalunya', 'Location': {'lat': '41.57', 'long': '2.26111', 'locality': 'Montmeló', 'country': 'Spain'}}",http://en.wikipedia.org/wiki/2000_Spanish_Grand_Prix,
,2000,European Grand Prix,,,,6,,2000-05-21,"{'circuitId': 'nurburgring', 'url': 'http://en.wikipedia.org/wiki/N%C3%BCrburgring', 'circuitName': 'Nürburgring', 'Location': {'lat': '50.3356', 'long': '6.9475', 'locality': 'Nürburg', 'country': 'Germany'}}",http://en.wikipedia.org/wiki/2000_European_Grand_Prix,
,2000,Monaco Grand Prix,,,,7,,2000-06-04,"{'circuitId': 'monaco', 'url': 'http://en.wikipedia.org/wiki/Circuit_de_Monaco', 'circuitName': 'Circuit de Monaco', 'Location': {'lat': '43.7347', 'long': '7.42056', 'locality': 'Monte-Carlo', 'country': 'Monaco'}}",http://en.wikipedia.org/wiki/2000_Monaco_Grand_Prix,
,2000,Canadian Grand Prix,,,,8,,2000-06-18,"{'circuitId': 'villeneuve', 'url': 'http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve', 'circuitName': 'Circuit Gilles Villeneuve', 'Location': {'lat': '45.5', 'long': '-73.5228', 'locality': 'Montreal', 'country': 'Canada'}}",http://en.wikipedia.org/wiki/2000_Canadian_Grand_Prix,
,2000,French Grand Prix,,,,9,,2000-07-02,"{'circuitId': 'magny_cours', 'url': 'http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours', 'circuitName': 'Circuit de Nevers Magny-Cours', 'Location': {'lat': '46.8642', 'long': '3.16361', 'locality': 'Magny Cours', 'country': 'France'}}",http://en.wikipedia.org/wiki/2000_French_Grand_Prix,
,2000,Austrian Grand Prix,,,,10,,2000-07-16,"{'circuitId': 'red_bull_ring', 'url': 'http://en.wikipedia.org/wiki/Red_Bull_Ring', 'circuitName': 'Red Bull Ring', 'Location': {'lat': '47.2197', 'long': '14.7647', 'locality': 'Spielberg', 'country': 'Austria'}}",http://en.wikipedia.org/wiki/2000_Austrian_Grand_Prix,
,2000,German Grand Prix,,,,11,,2000-07-30,"{'circuitId': 'hockenheimring', 'url': 'http://en.wikipedia.org/wiki/Hockenheimring', 'circuitName': 'Hockenheimring', 'Location': {'lat': '49.3278', 'long': '8.56583', 'locality': 'Hockenheim', 'country': 'Germany'}}",http://en.wikipedia.org/wiki/2000_German_Grand_Prix,
,2000,Hungarian Grand Prix,,,,12,,2000-08-13,"{'circuitId': 'hungaroring', 'url': 'http://en.wikipedia.org/wiki/Hungaroring', 'circuitName': 'Hungaroring', 'Location': {'lat': '47.5789', 'long': '19.2486', 'locality': 'Budapest', 'country': 'Hungary'}}",http://en.wikipedia.org/wiki/2000_Hungarian_Grand_Prix,
,2000,Belgian Grand Prix,,,,13,,2000-08-27,"{'circuitId': 'spa', 'url': 'http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps', 'circuitName': 'Circuit de Spa-Francorchamps', 'Location': {'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}}",http://en.wikipedia.org/wiki/2000_Belgian_Grand_Prix,
,2000,Italian Grand Prix,,,,14,,2000-09-10,"{'circuitId': 'monza', 'url': 'http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza', 'circuitName': 'Autodromo Nazionale di Monza', 'Location': {'lat': '45.6156', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}}",http://en.wikipedia.org/wiki/2000_Italian_Grand_Prix,
,2000,United States Grand Prix,,,,15,,2000-09-24,"{'circuitId': 'indianapolis', 'url': 'http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway', 'circuitName': 'Indianapolis Motor Speedway', 'Location': {'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}}",http://en.wikipedia.org/wiki/2000_United_States_Grand_Prix,
,2000,Japanese Grand Prix,,,,16,,2000-10-08,"{'circuitId': 'suzuka', 'url': 'http://en.wikipedia.org/wiki/Suzuka_Circuit', 'circuitName': 'Suzuka Circuit', 'Location': {'lat': '34.8431', 'long': '136.541', 'locality': 'Suzuka', 'country': 'Japan'}}",http://en.wikipedia.org/wiki/2000_Japanese_Grand_Prix,
,2000,Malaysian Grand Prix,,,,17,,2000-10-22,"{'circuitId': 'sepang', 'url': 'http://en.wikipedia.org/wiki/Sepang_International_Circuit', 'circuitName': 'Sepang International Circuit', 'Location': {'lat': '2.76083', 'long': '101.738', 'locality': 'Kuala Lumpur', 'country': 'Malaysia'}}",http://en.wikipedia.org/wiki/2000_Malaysian_Grand_Prix,
,2001,Australian Grand Prix,,,,1,,2001-03-04,"{'circuitId': 'albert_park', 'url': 'http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit', 'circuitName': 'Albert Park Grand Prix Circuit', 'Location': {'lat': '-37.8497', 'long': '144.968', 'locality': 'Melbourne', 'country': 'Australia'}}",http://en.wikipedia.org/wiki/2001_Australian_Grand_Prix,
